country,n_obs,b_gpr,se_gpr,t_gpr,b_gdp,b_trade,b_fdi
ARM,28,-0.10194502761412359,0.4350975931839059,-0.23430381875505743,-1.051281021597602,0.006000903575216271,-0.007325207853003112
AZE,28,0.47686563319031,0.1722058332450763,2.7691607433045218,0.3822767996311729,-4.754968152297257e-4,-0.002467109581725506
BLR,28,-0.48352097885651474,0.3780955066678345,-1.2788329147780615,1.611781415943017,0.0019960626703693527,0.08205840906515727
GEO,26,0.5438088300826944,0.204138107888568,2.663926082726019,-0.1907452900865234,-0.0021978209877889167,-0.02516376936743494
KAZ,28,0.16342133600877648,0.17892919327184426,0.9133296418572293,0.010622073106181544,0.007343234287910485,-0.007670294558909302
KGZ,28,0.43585307674291873,0.4878846030922619,0.8933528010116284,-2.739518233651401,0.0074374546771872815,-0.01363769522147575
MDA,28,-0.053221177833711136,0.44360133544566144,-0.11997524259083395,-0.29473153025323634,0.008450879012933815,-0.06935600449663736
MNG,28,-0.1628606703223326,0.12074397269691466,-1.3488099379596952,1.1073320181373465,-0.002666227345829338,0.007839439234076186
RUS,28,-0.29471075882970144,0.07035592100485898,-4.188855104453084,1.6545839897900094,-0.0013490515279110209,-0.02416272483833447
TJK,28,-0.24484278769743473,0.3542472647658771,-0.6911635234763265,0.7413896814490291,0.007200458561019196,-0.044593505593290485
TKM,28,0.7725292589907111,0.5476493935964072,1.410627434310701,0.4126146405309463,0.003636076588271573,-0.05969571638725548
TUR,28,-0.1551907002227054,0.1663311345178109,-0.9330225557145312,0.4319363334573064,-0.015429385039806088,0.03693185611950826
UKR,28,0.07602657366767018,0.1840700400453358,0.4130306792400605,0.08820765387901018,-0.0050202321870424955,-0.08390172856752381
UZB,26,0.08495765990899795,0.25254244618440025,0.3364094281678256,1.0555003565393881,-6.484898884406843e-4,-0.1364999548534095
