ISO3,Year,Country,CO2_per_capita_mt,GDP_per_capita_USD2015,lnCO2,lnGDP,lnGDP2
BRA,2003,Brazil,1.91839410561756,6941.43965883253,0.6514884327350788,8.845264475623205,78.23870364372185
BRA,2004,Brazil,1.99978275095698,7258.78101654079,0.6930385501383648,8.889967189663635,79.03151663329594
BRA,2005,Brazil,1.99935674253319,7409.56827992249,0.6928255000929262,8.91052745477402,79.39749952228156
BRA,2006,Brazil,2.00204169117872,7622.03919432148,0.694167505440792,8.938799223682652,79.90213156130959
BRA,2007,Brazil,2.08496718576573,8003.2532101272,0.7347531168850613,8.987603389267655,80.77701468277543
BRA,2008,Brazil,2.16839391882541,8330.76364001877,0.7739867639477109,9.027710404430774,81.49955514626765
BRA,2009,Brazil,2.00746250710986,8246.09612122851,0.6968714902558355,9.017495169908646,81.31521913932575
BRA,2010,Brazil,2.27112813109879,8792.63334959864,0.8202766820949369,9.081669530522428,82.47672146161945
BRA,2011,Brazil,2.37418967936326,9067.99212019529,0.8646561916323383,9.112506142658724,83.03776819999297
BRA,2012,Brazil,2.52901988702936,9167.49818450433,0.9278318312509632,9.123419701909391,83.23678705718845
BRA,2013,Brazil,2.63744450973958,9366.73824670239,0.969810459619566,9.144920208621224,83.62956562204886
BRA,2014,Brazil,2.7310345760982,9338.34170840985,1.0046805030112769,9.141883968180045,83.57404248766731
BRA,2015,Brazil,2.56818858918394,8936.1955889444,0.9432008212870052,9.097865228260668,82.77115171159453
BRA,2016,Brazil,2.37533549789759,8577.84277969667,0.8651386897826987,9.056937736591848,82.02812116450147
BRA,2017,Brazil,2.41694955353585,8628.25209645723,0.8825062299834044,9.062797225494023,82.13429355042217
BRA,2018,Brazil,2.28562350357953,8722.33529970988,0.826638855211764,9.073642290648193,82.33098441863939
BRA,2019,Brazil,2.25869881785082,8771.43950372603,0.8147889031659968,9.079256211432273,82.43289335283151
BRA,2020,Brazil,2.1466461829,8435.01046209185,0.763906709275297,9.040146235298428,81.72424395558033
BRA,2021,Brazil,2.41580858865319,8799.22844579944,0.8820340503831475,9.082419320008778,82.49034070446872
BRA,2022,Brazil,2.27889577215227,9032.08377657776,0.8236910151906283,9.108538381315462,82.9654714438969
CHN,2003,China,3.70467882645141,2857.0373538115,1.3095965684727189,7.957540476633052,63.32245043725338
CHN,2004,China,4.24069749050016,3127.86276523632,1.4447277581912705,8.048105227696462,64.77199775607512
CHN,2005,China,4.78299420120885,3465.81734409951,1.565066752322106,8.15070376955034,66.43397193896212
CHN,2006,China,5.28052516361306,3883.35412942474,1.664025555577577,8.26445452552807,68.30120860452139
CHN,2007,China,5.7076324565497,4409.75700836878,1.741804306607575,8.391574866779688,70.41852874476855
CHN,2008,China,5.85225866357655,4811.47471804961,1.7668276830656255,8.47875891029852,71.88935265896654
CHN,2009,China,6.24909018523805,5237.76666540352,1.8324358827900045,8.563650477569803,73.33610950198153
CHN,2010,China,6.80718476794211,5764.86534987407,1.917978637911459,8.659537075947144,74.98758236970322
CHN,2011,China,7.40185065816131,6275.90956436258,2.0017300578838153,8.744473703991705,76.46582035980241
CHN,2012,China,7.58441651466929,6723.19443752823,2.0260956836278496,8.813318683295542,77.67458621332626
CHN,2013,China,7.89327631231478,7198.06876478162,2.0660112973749953,8.881568041911157,78.88225088309758
CHN,2014,China,7.93164331637339,7686.57792954381,2.0708602419678788,8.947230960796519,80.0529418658358
CHN,2015,China,7.79057049265868,8175.33285077393,2.052914091175337,9.008876710627593,81.15985958728824
CHN,2016,China,7.76322483949301,8679.37704460133,2.049397819968573,9.068705036023728,82.24141103040212
CHN,2017,China,7.87802652170332,9221.51403820573,2.0640774310958934,9.129294515456,83.344018349935
CHN,2018,China,8.2177362485386,9798.6528523316,2.1062947755848542,9.190000191161818,84.45610351355425
CHN,2019,China,8.39147587098516,10356.4804194995,2.1272164133505536,9.245367730245357,85.4768244674622
CHN,2020,China,8.47858302033874,10573.6420059282,2.137543339183442,9.266119580153436,85.8609720737029
CHN,2021,China,8.88715660313235,11469.5707134928,2.1846071561980582,9.347452782526133,87.37487352155556
CHN,2022,China,8.86482511020235,11830.5983703496,2.182091211210007,9.378444536449786,87.95522192326484
IND,2003,India,0.969744882653011,841.278894571674,-0.030722249651481643,6.734923227556812,45.35919088108427
IND,2004,India,1.02822643182898,892.596614581612,0.027835407203404258,6.794134759427068,46.1602671292551
IND,2005,India,1.05460489385527,947.732565646672,0.05316618858826517,6.854072358708038,46.97830789840557
IND,2006,India,1.10810989189174,1008.23275343783,0.10265576381474822,6.915954328164906,47.8304242692629
IND,2007,India,1.18862350046436,1069.24696813025,0.17279591530499386,6.97470991159236,48.6465783508647
IND,2008,India,1.25815998206335,1086.50605251513,0.2296503219440777,6.990722370334562,48.870199259096076
IND,2009,India,1.32284533301467,1155.10163274172,0.27978497203621683,7.051943612800449,49.72990871811705
IND,2010,India,1.39129863287623,1235.15939133951,0.33023757924193087,7.118955302547687,50.67952459967183
IND,2011,India,1.46337391608571,1281.61054354933,0.3807446711225998,7.155872803144588,51.20651557478438
IND,2012,India,1.57607553513255,1333.09626557668,0.4549379186707568,7.195259534807989,51.77175977324528
IND,2013,India,1.59945855716817,1399.4537980287,0.4696651702050422,7.243837295212061,52.47317875950519
IND,2014,India,1.70517686000076,1484.31640682913,0.5336688355615986,7.3027096131498554,53.32956769399131
IND,2015,India,1.71550269097521,1583.99815907985,0.5397061519395673,7.3677074101766316,54.28311248197165
IND,2016,India,1.7202923565219,1694.46534973825,0.5424942511033302,7.435122542173674,55.28104721713911
IND,2017,India,1.79545339877531,1788.69770318446,0.5852575798917671,7.489243093928637,56.08876211995779
IND,2018,India,1.85989309419052,1883.35772705062,0.6205190098316316,7.540811487804754,56.86383789460814
IND,2019,India,1.83688223212799,1936.03067741067,0.6080696953744421,7.568395113480953,57.28060459376237
IND,2020,India,1.68040016064392,1806.50110583878,0.5190319559117048,7.499147162731864,56.23720816830937
IND,2021,India,1.83702951699406,1965.30943437506,0.6081498741463922,7.583404984870203,57.50803116455425
IND,2022,India,1.96929618962877,2098.2112447615,0.6776762147680248,7.648840472524994,58.50476057413638
RUS,2003,Russia,12.0101555342893,6370.45361328125,2.4857525864068126,8.759425956907013,76.72754309453633
RUS,2004,Russia,12.0698465708905,6856.67822265625,2.490710323420569,8.832978379342993,78.02150704994077
RUS,2005,Russia,12.1189832296134,7323.38525390625,2.4947730851759533,8.898827966431375,79.18913917614115
RUS,2006,Russia,12.4166473767424,7949.89697265625,2.5190381026053044,8.980914248150096,80.6568207326254
RUS,2007,Russia,12.4578591772281,8640.40625,2.522351682965537,9.064204880368637,82.15981011329862
RUS,2008,Russia,12.3604193305861,9093.7001953125,2.5144993778768803,9.11533716653478,83.08937165961032
RUS,2009,Russia,11.6405620274147,8381.8681640625,2.4544957252798065,9.03382609990302,81.61001400328902
RUS,2010,Russia,12.2289345872818,8755.1201171875,2.5038048312095107,9.0773939644645,82.39908118609654
RUS,2011,Russia,12.8138402250147,9120.8203125,2.5505258543560987,9.118315025569482,83.14366890552617
RUS,2012,Russia,12.6922981666833,9464.0107421875,2.5409953659350224,9.15525154071543,83.81863077377224
RUS,2013,Russia,12.2682756012668,9601.537109375,2.507016711052392,9.169678480198696,84.08300343021907
RUS,2014,Russia,12.1341694161707,9493.8125,2.4960253915267,9.158395549600886,83.87620904294931
RUS,2015,Russia,12.1481277789029,9277.7138671875,2.4971750656417573,9.135370444912384,83.45499316577869
RUS,2016,Russia,11.961746699283,9269.3193359375,2.4817137829494915,9.134465229320082,83.43845502565757
RUS,2017,Russia,12.1357322425004,9418.9140625,2.4961541787260746,9.150475080935776,83.73119420682659
RUS,2018,Russia,12.5939247104085,9674.787109375,2.533214531837509,9.17727851345692,84.22244091355807
RUS,2019,Russia,12.7738739166789,9882.0244140625,2.5474019847821605,9.198472669961488,84.61189946002843
RUS,2020,Russia,12.2840530273686,9632.3251953125,2.508301919352766,9.172879928950492,84.14172619094278
RUS,2021,Russia,13.3920757412176,10231.318359375,2.5946631694373385,9.233208722526568,85.25214331374069
RUS,2022,Russia,13.1413838368291,10119.0625,2.5757663223384237,9.22217630021034,85.04853571216127
ZAF,2003,South Africa,8.11491084558816,5011.62223150169,2.093703214533827,8.519514940370357,72.58213481919373
ZAF,2004,South Africa,8.69023374521021,5187.35683424034,2.162199837098544,8.553979565939386,73.17056641450857
ZAF,2005,South Africa,8.81501533854301,5406.07581377638,2.176456555898576,8.595278750744047,73.87881680299215
ZAF,2006,South Africa,8.81243167639557,5650.9883176549,2.1761634150752056,8.639585732321903,74.6424416261402
