iso3c,year,ca_gdp
AFG,2020,-15.7183027911684
AFG,2019,-20.1704643881064
AFG,2018,-21.5852741164653
AFG,2017,-18.9559612272258
AFG,2016,-14.9501951919169
AFG,2015,-21.9126573355151
AFG,2014,-15.7724198274304
AFG,2013,-25.290058564309
AFG,2012,-25.8706814974751
AFG,2011,-12.6195382087159
AFG,2010,-3.64331388234628
AFG,2009,2.23601941932175
AFG,2008,-2.35799044700136
ALB,2020,-8.62504716716646
ALB,2019,-7.82064355473536
ALB,2018,-6.60766481105068
ALB,2017,-7.40849329663264
ALB,2016,-7.51011690016649
ALB,2015,-8.5423750766982
ALB,2014,-10.7201496577808
ALB,2013,-9.25914166645898
ALB,2012,-10.2612568930744
ALB,2011,-12.8503659661776
ALB,2010,-11.2157643683259
ALB,2009,-15.0172385106345
ALB,2008,-15.1839581650837
ALB,2007,-10.3518884224487
ALB,2006,-7.33186374631583
ALB,2005,-6.92138800420102
ALB,2004,-4.83249013532297
ALB,2003,-7.01197673066681
ALB,2002,-9.02590739072684
ALB,2001,-5.35591452180558
ALB,2000,-4.36035543487417
ALB,1999,-4.73211838588308
ALB,1998,-2.50234871672871
ALB,1997,-11.8688813645991
ALB,1996,-3.31737383628298
ALB,1995,-0.395856545631387
ALB,1994,-8.36279155272246
ALB,1993,1.25704931694863
ALB,1992,-7.77398715257512
ALB,1991,-15.2788523176905
ALB,1990,-5.83174096323551
ALB,1989,-1.74427120088412
ALB,1988,-1.3211544989028
ALB,1987,0.249904333497333
ALB,1986,-0.1525752133222
ALB,1985,-1.91876849654322
DZA,2020,-11.0309095376358
DZA,2019,-8.76373598794007
DZA,2018,-8.68941296193564
DZA,2017,-11.6217683736912
DZA,2016,-14.4962877563746
DZA,2015,-14.4205446442815
DZA,2014,-3.8772158836163
DZA,2013,0.517147116303438
DZA,2012,5.32371106942359
DZA,2011,8.09495300569717
DZA,2010,6.8736192928034
DZA,2009,0.287169379874168
DZA,2008,18.8233635111301
DZA,2007,21.3033457890386
DZA,2006,23.4985369430055
DZA,2005,19.7857720899622
DZA,1991,5.17702797301749
DZA,1990,2.2889527648555
DZA,1989,-1.94306627097075
DZA,1988,-3.45178831929018
DZA,1987,0.211615708938074
DZA,1986,-3.50116872810923
DZA,1985,1.75145888019743
AND,2020,15.5264238134716
AND,2019,18.0104652921679
AGO,2020,1.4815317555746499
AGO,2019,6.36332599336486
AGO,2018,8.26988653763387
AGO,2017,-0.750047560666891
AGO,2016,-5.15244763778543
AGO,2015,-10.018075447644
AGO,2014,-2.4421772584791
AGO,2013,5.47217516826916
AGO,2012,9.64052717140429
AGO,2011,10.421717119183601
AGO,2010,7.85577834884186
AGO,2009,-9.26704056119383
AGO,2008,7.28233163406667
AGO,2007,14.487357954762
AGO,2006,18.2253229198446
AGO,2005,12.411352951241
AGO,2004,2.52329142811835
AGO,2003,-3.53728418452148
AGO,2002,-0.867014859883908
AGO,2001,-16.0129513307541
AGO,2000,8.71506351159262
AGO,1999,-27.7983311948052
AGO,1998,-28.6976083856327
AGO,1997,-11.5519884917384
AGO,1996,43.3988183053598
AGO,1995,-5.32696076591876
AGO,1994,-7.65604828196431
AGO,1993,-11.5883584424603
AGO,1992,-8.84439959377916
AGO,1991,-5.465973
AGO,1990,-2.09715190221188
AGO,1989,-1.29389172637474
AGO,1988,-5.34787604789493
AGO,1987,5.52915879466056
AGO,1986,-4.2841774908353
AGO,1985,2.58139146821177
ATG,2020,-15.5663867272565
ATG,2019,-6.50528434529466
ATG,2018,-13.9937660480859
