date,GPR,GPRH,GPRC_RUS,GPRC_TUR,GPRC_UKR,GPRC_CHN,GPRC_IND,GPRC_BRA,GPRC_ARG,GPRC_MEX,GPRC_ZAF,GPRC_EGY,GPRC_POL,GPRC_HUN,GPRC_IDN,GPRC_MYS,GPRC_PHL,GPRC_THA,GPRHC_RUS,GPRHC_TUR,GPRHC_UKR
1990Q1,75.51439921061198,67.65927124023438,0.8595616221427917,0.07580305015047391,0.025339858916898567,0.17193869998057684,0.11002101749181747,0.028368108595410984,0.017694942963620026,0.06779023756583531,0.12688630570967993,0.07316552971800168,0.22960788011550903,0.11059249192476273,0.0197126641869545,0.0012945989146828651,0.07737211013833682,0.041523813580473266,0.9717295368512472,0.0974449726442496,0.026308923338850338
1990Q2,82.57735697428386,73.04824829101562,1.0361836353937786,0.05300157889723778,0.03784793304900328,0.16692443688710532,0.18153086801369986,0.035298251857360206,0.01903809979557991,0.07607492556174596,0.11857098837693532,0.11688738316297531,0.27290457983811695,0.09609341124693553,0.009441050390402475,0.0053519524323443575,0.06649559487899144,0.0256709735840559,1.1149070262908936,0.06569839393099149,0.0386811817685763
1990Q3,174.96634928385416,136.4084904988607,1.5354321996370952,0.6173651777207851,0.030717451435824234,0.3656357675790787,0.47751285632451373,0.09689508626858394,0.06369093681375186,0.08185415466626485,0.1776075859864553,0.8015262484550476,0.2119102825721105,0.0654208039244016,0.08179498588045438,0.05135719540218512,0.17173627763986588,0.05417255312204361,1.5061200261116028,0.6464895407358805,0.031130532423655193
1990Q4,151.91951497395834,124.79262797037761,1.2464086612065632,0.22699272632598877,0.03981523588299751,0.3215250124533971,0.20199169218540192,0.0785707210501035,0.06439006763199966,0.08660777161518733,0.11627182364463806,0.47580088178316754,0.1290900558233261,0.05849107354879379,0.02443264176448186,0.03791245880226294,0.0704810805618763,0.03375747799873352,1.329071005185445,0.21420339743296304,0.03248135931789875
1991Q1,289.07537841796875,204.06404622395834,2.064855178197225,0.6145472327868143,0.06530383105079333,0.26554761330286664,0.31211132804552716,0.10064540058374405,0.04226036183536053,0.12008013824621837,0.1262077863017718,0.7288938363393148,0.13258341451485953,0.06653128812710445,0.05280599805215994,0.03367541109522184,0.1222713515162468,0.07871534178654353,1.971849004427592,0.5421440502007803,0.06225298220912615
1991Q2,91.35428873697917,78.1008809407552,0.7953413724899292,0.34293455878893536,0.016998276735345524,0.26936856905619305,0.15900680422782898,0.04434259608387947,0.01287572861959537,0.06511951113740604,0.15355074405670166,0.14175484329462051,0.08706055084864299,0.0457501703252395,0.022094544333716232,0.00774768212189277,0.06051499955356121,0.047015013794104256,0.8910735050837199,0.3942056397596995,0.009009867906570435
1991Q3,115.54063161214192,93.45815531412761,1.4611467917760212,0.22477779785792032,0.22056743254264197,0.2342257002989451,0.09878312548001607,0.03915844236811002,0.022983336821198463,0.07539956520001094,0.1549189736445745,0.1129226063688596,0.12523904566963515,0.10815534243981044,0.01358952559530735,0.02310776648422082,0.09781320889790852,0.031069962307810783,1.47636612256368,0.22587242225805917,0.20023359855016074
1991Q4,101.84789276123047,85.15303293863933,1.1866430044174194,0.14691531161467233,0.3940256287654241,0.2920338809490204,0.10644340763489406,0.03925346272687117,0.03550694013635317,0.06953555469711621,0.09178519745667775,0.09516163418690364,0.11577573170264562,0.10369258373975754,0.03593346383422613,0.013999852041403452,0.04102244724829992,0.05569016064206759,1.1783010164896648,0.1585885932048162,0.37391018867492676
1992Q1,91.81947326660156,77.77626546223958,1.002551019191742,0.16275798777739206,0.2464411606391271,0.32794540127118427,0.1801554411649704,0.04581927632292112,0.06451243658860524,0.09286984552939732,0.08831573029359181,0.1025301565726598,0.06206508229176203,0.039607564297815166,0.026566525921225548,0.022816433260838192,0.04096748183170954,0.05250153690576553,0.9574806690216064,0.18856165061394373,0.200289656718572
1992Q2,86.22428639729817,80.07636260986328,0.7324616511662801,0.14142676442861557,0.1811020572980245,0.1738209923108419,0.13209818551937738,0.09148874630530675,0.03774149032930533,0.051880077769358955,0.07339192926883698,0.07844934550424416,0.06963712597886722,0.05540259927511215,0.015063212253153324,0.01522061616803209,0.05908252423008283,0.0752834603190422,0.8648371696472168,0.16986245413621268,0.18065765996774039
1992Q3,77.1505610148112,71.22094217936198,0.5076353549957275,0.1305168941617012,0.05866479128599167,0.17154481510321298,0.10355009883642197,0.02820965399344762,0.015317955985665321,0.05125295122464498,0.08159325396021207,0.08799735580881436,0.05095734198888143,0.05111426115036011,0.014044427623351416,0.0153058593471845,0.024262644350528717,0.02172768395394087,0.5627764264742533,0.17506972452004751,0.051585447043180466
1992Q4,80.87091318766277,74.6903305053711,0.53284619251887,0.1441067854563395,0.07906928037603696,0.20886499186356863,0.11212414999802907,0.03382821877797445,0.022703605083127815,0.05193541447321574,0.12614098687966666,0.08961333831151326,0.05329179267088572,0.06036791950464249,0.0312032881192863,0.01280186433965961,0.02834341675043106,0.04497376394768556,0.5815400381882986,0.17142449567715326,0.09675887475411098
1993Q1,104.5425287882487,89.24343617757161,0.7769716580708822,0.17323751002550125,0.13860750943422318,0.191508616010348,0.158579021692276,0.022894431216021378,0.03950758402546247,0.04053559030095736,0.11156113694111507,0.15397409598032633,0.04395453631877899,0.035473703096310295,0.01787642886241277,0.014687935821712017,0.015650543694694836,0.048524356757601105,0.8212398091952006,0.1976586952805519,0.15450085451205572
